,name
241,GeForce Go 7700
242,GeForce Go 7800
243,GeForce Go 7800 GTX
244,GeForce Go 7900 GS
245,GeForce Go 7900 GTX
246,GeForce Go 7950 GTX
247,GeForce 8200M G
248,GeForce 8400M G
249,GeForce 8400M GS
250,GeForce 8400M GT
251,GeForce 8600M GS
252,GeForce 8600M GT
253,GeForce 8700M GT
254,GeForce 8800M GTS
255,GeForce 8800M GTX
256,GeForce 9100M G mGPU
257,GeForce 9200M GS
258,GeForce 9300M G
259,GeForce 9300M GS
260,GeForce 9400M G
261,GeForce 9500M G
262,GeForce 9500M GS
263,GeForce 9600M GS
264,GeForce 9600M GT
265,GeForce 9650M GS
266,GeForce 9650M GT
267,GeForce 9700M GT
268,GeForce 9700M GTS
269,GeForce 9800M GS
270,GeForce 9800M GTS
271,GeForce 9800M GT
272,GeForce 9800M GTX
273,GeForce G 102M
274,GeForce G 103M
275,GeForce G 105M
276,GeForce G 110M
277,GeForce GT 120M
278,GeForce GT 130M
279,GeForce GTS 150M
280,GeForce GTS 160M
281,GeForce G210M
282,GeForce GT 220M
283,GeForce GT 230M
284,GeForce GT 240M
285,GeForce GTS 250M
286,GeForce GTS 260M
287,GeForce GTX 260M
288,GeForce GTX 280M
289,GeForce GTX 285M
290,GeForce 305M
291,GeForce 310M
292,GeForce 315M
293,GeForce 320M
294,GeForce GT 320M
295,GeForce GT 325M
296,GeForce GT 330M
297,GeForce GT 335M
298,GeForce GTS 350M
299,GeForce GTS 360M
300,GeForce 410M
301,GeForce GT 415M
302,GeForce GT 420M
303,GeForce GT 425M
304,GeForce GT 435M
305,GeForce GT 445M
306,GeForce GTX 460M
307,GeForce GTX 470M
308,GeForce GTX 480M
309,GeForce GTX 485M
310,GeForce GT 520M
311,GeForce GT 520M
312,GeForce GT 520MX
313,GeForce GT 525M
314,GeForce GT 540M
315,GeForce GT 550M
316,GeForce GT 555M
317,GeForce GTX 560M
318,GeForce GTX 570M
319,GeForce GTX 580M
320,GeForce 610M
321,GeForce GT 620M
322,GeForce GT 625M
323,GeForce GT 630M
324,GeForce GT 635M
325,GeForce GT 640M LE
326,GeForce GT 640M
327,GeForce GT 645M
328,GeForce GT 650M
329,GeForce GTX 660M
330,GeForce GTX 670M
331,GeForce GTX 670MX
332,GeForce GTX 675M
333,GeForce GTX 675MX
334,GeForce GTX 680M
335,GeForce GTX 680MX
336,GeForce 710M
337,GeForce GT 720M
338,GeForce GT 720M
339,GeForce GT 730M
340,GeForce GT 735M
341,GeForce GT 740M
342,GeForce GT 740M
343,GeForce GT 745M
344,GeForce GT 750M
345,GeForce GT 755M
346,GeForce GTX 760M
347,GeForce GTX 765M
348,GeForce GTX 770M
349,GeForce GTX 780M
350,GeForce 810M
351,GeForce 820M
352,GeForce 825M
353,GeForce 830M
354,GeForce 840M
355,GeForce 845M
356,GeForce GTX 850M
357,GeForce GTX 860M
358,GeForce GTX 870M
359,GeForce GTX 880M
360,GeForce 920M
361,GeForce 930M
362,GeForce 940M
363,GeForce GTX 950M
364,GeForce GTX 960M
365,GeForce GTX 965M
366,GeForce GTX 970M
367,GeForce GTX 980M
368,GeForce GTX 980
369,GeForce MX110
370,GeForce MX130
371,GeForce MX150
372,GeForce GTX 1050
373,GeForce GTX 1050 Ti
374,GeForce GTX 1060
375,GeForce GTX 1060 Max-Q
376,GeForce GTX 1070
377,GeForce GTX 1070 Max-Q
378,GeForce GTX 1080
379,GeForce GTX 1080 Max-Q
380,C870 GPU Computing Module
381,D870 Deskside Computer
382,S870 GPU Computing Server
383,C1060 GPU Computing Module
384,"S1070 GPU Computing Server ""400 configuration"""
385,"S1070 GPU Computing Server ""500 configuration"""
386,S1075 GPU Computing Server
387,Quadro Plex 2200 D2 Visual Computing System
388,Quadro Plex 2200 S4 Visual Computing System
389,C2050 GPU Computing Module
390,M2050 GPU Computing Module
391,C2070 GPU Computing Module
392,C2075 GPU Computing Module
393,M2070/M2070Q GPU Computing Module
394,M2090 GPU Computing Module
395,S2050 GPU Computing Server
396,S2070 GPU Computing Server
397,K10 GPU accelerator
398,K20 GPU accelerator
399,K20X GPU accelerator
400,K40 GPU accelerator
401,K80 GPU accelerator
402,M4 GPU accelerator
403,M6 GPU accelerator
404,M10 GPU accelerator
405,M40 GPU accelerator
406,M60 GPU accelerator
407,P4 GPU accelerator
408,P6 GPU accelerator
409,P40 GPU accelerator
410,P100 GPU accelerator
411,P100 GPU accelerator
412,P100 GPU accelerator
413,V100 GPU accelerator
414,V100 GPU accelerator
415,T4 GPU accelerator
